tweets,labels
wode wo kwasea come here again,Negative
sometimes people sleep with their bra on😳,Neutral
pls can u think of how to get us the next episode of prison break🤣🤣ydi wo trumu wie aa na ato wo nkwasia keka saajailmanjwonky🤣🤣🤣,Negative
eiiiii bra why,Neutral
so she had time to wear bra and tie towel and pick phone to record this is staged,Neutral
reading and i like what im reading eeii saa ong 😄,Positive
i have tried saa super,Neutral
let me ask bra black rasta first,Neutral
a saa na im waiting for it gh will sort me out for the morning just that for koko  for waakye  for banku and more meat 😂 💔,Positive
“na doctor dier by dn anya time ama me” ohemaa y kom na fa wakoma no bra,Positive
twice your age sɛn,Neutral
siaa s hilla limann s cbc bra ankasa by this time wo nkeka nkwasiasm seiakuffo addo papa bc bra nti hw ne ba nd wo y bmaa wo so by minister na y nhw,Negative
abeg remove saa yassan ooo s whan whan nu🤦🏾🥶🥶akoayi asa kwa🤣,Negative
fresh kakrahardwork nso kakra god bless you boss,Positive
e better pass s stabilizer nso ooo s dn dn wey you buy,Neutral
does she get her bra size ei,Neutral
my don i tag you saa no dey mind me but still dey watch ur moves lol,Positive
massa ɛyɛ ɛyɛ focus cos philly no be joke team  s,Positive
i laugh saa😂😂,Neutral
🚦akwaaba akwaaba akwaaba 🚦the road🛣️ to the akwaaba week celebration is finally here 🔥🔥lez vibe  🤩😁,Positive
he’s now free agent wai bra,Neutral
ati paaaa ni nso is big for a reason bars my nigga,Negative
get the bread bra abeiku 🙇🏾‍♂️,Positive
wode mayas signature laughter doesnt  go unnoticed 😂,Negative
andrey santos nso bɔ ball herrh the kid is really good enzo and andrey double pivot,Neutral
bra na yɛnkɔ i’ll be waiting for you,Neutral
you must be arrested for this ah bra panyin paa did you dance at your wedding,Neutral
when did you tell us bra you self rest,Neutral
happy birthday bra andy 🎂🎊🎉🙏,Positive
do you understand dignity you people de 😂😂😂…  you will continue to be loud on the internet saa … mmoa 😂,Negative
ya nante saa ama yeni nkosua aye brown…still grinding,Negative
retweet is enough blud sendi bra,Positive
i drop saa  sgzl,Neutral
opanin akwaaba  thebigbreakfast fm,Positive
gyimie saa all cos of engagement its sad,Negative
cash for  people no nyinaa saaa na ɛyɛ gh for nipa baako biaaa😭😭😭😭,Negative
wode mode plz go for check up  your cholesterol maybe high 😮,Negative
i’m a gym girl – people say i ‘ask for attention’ by working out in a sports bra and leggings but i don’t pay any mind,Neutral
masa entrance nice nso omo abon basaa 😂😂💔,Negative
adwadifoc anidasocmfididwuma hene wode adwuma aba ama oman ghana mmabunu anya bi ay aybiafo kwadwo alan kyerematenwo mmr nie chief,Neutral
inhale some freshness nyinaa saa na abyifo oo 🙆🏼‍♂️ buei 🥹😂💔,Negative
saa can you teach me,Neutral
jodel yii nso things are happening on that app paaa oh,Neutral
friday night 🌙 nso mabrɛ,Negative
monngyae saa nkwasia trend no,Negative
‘wode jot ne nsawe bka ho aa na kyr s wote so ama nu aka wu’,Negative
hw much be ur whole wardrobe sefgyimii kasa saa,Negative
oh i see saa team bi no aaa na wo p,Neutral
yesterday’s  first ever akwaaba games was sooo massive 🔥🔥we had good fun at the heritage beach resort yesterday thanks to our president he  and her executives  sbpnkhv,Positive
some of us our girlfriends will start menstruation from february 😭vals day no b tor nsuo mu ama amanfour but low key ebe keys 😜 ✌️,Neutral
it’s all about atu src akwaaba week celebration   will be giving you the exclusives atuakwaabacampuskampusstyle,Positive
learn what you haven’t said anything sensible nso you’re drawing conclusions,Positive
unimacgij sankofa akwaaba week the long awaited moment is here now the university of media arts and communications  gij has released the date for the date for the sankofa akwaaba week celebrated ‘ which is on theth toth of february,Positive
me nso saa oo link up de me nka ho asem biom 😂😂😂😂,Neutral
adɛn ɛyɛ sʋʋdiii na ɛɛmbin da,Negative
kumasi fuo with gyimiiithem dont know anything kumasi fuo gyimiiie saabecause of them we are not moving in this countryconcert people useless talking,Negative
good morning bra this morning i dont understand you oo its not by force for everybody to see stonebowy as hero some of us  our hero is    daybreakhitz,Positive
them chop all the money oo bra 😂,Negative
the nations builder bra na bey wadwuma no,Positive
god bless you press their necks online saa they play with our education too much what at all have we done to deserve this citicbs,Positive
bra nono🤣😂wanna church ⛪️ bi dat🤣💔,Neutral
abotr bra  😂🔥🔥💯 thebigbreakfast,Neutral
bra fie lemme give you dance tuts wati,Neutral
bra u wear bra when u sleep lier,Neutral
me bra forget them you fresh,Positive
ɛyɛ clear,Positive
thats why you dislike wearing bra,Negative
happy birthday bra john,Positive
animguaseɛ akwaaba 😃you see your foolishness now wo education no ɛwɛe,Negative
ah saa  why okc,Neutral
you chop pizza saa see the way you make fresh,Positive
bra pls u better come back to the screens oooo jb only ten minutes why do ur management wants demonstration from the viewers of jb,Negative
unimac gijsrc releases this year’s akwaaba week celebration program lineupghana institute of journalism gij src  has released the program lineup for this year’s akwaaba week celebration,Positive
we know you rap but it doesnt touch us bra 😊✌️,Negative
wogyimii wate how can u refer to a human being as ‘it’saa wonnim nyansa baako sei,Negative
most of the sweet one the top is a bit red like wine bi saa nu,Positive
that’s your book lil bra😂,Neutral
na hwan nso nie aden aa followers sean paul is a worldwide grammy nominated act but kuami eugene get followers pass him wonka nyansa aa kc da,Positive
chelsea vs rui costa ɔtwe bɛbrɛ na bɔfoɔ nso bɛbrɛ paaaeei 😂😂😂,Neutral
black americans fo nso ka nkwasia brofo paa o  sntpj,Negative
bra kwaw bra bgye wo watch cos this mad time,Neutral
this thing wey happen u take dey judge womeneei bra nya abotr wati this no b news,Positive
ohh bra why 😂😂😂,Neutral
aane😂😂😂 i don’t make the rules 😂😂😂,Neutral
ghanaian youtuber wode maya fights to save his camera at togolese boarder     read more,Negative
my love❤️akwaaba,Positive
akwaaba festival  set for march    stcoytgzbihog,Positive
casemiro hes man united plaase not a real madrid bra know how argument wai,Neutral
akwaaba dance move by yemi and kanaga,Neutral
hes in his feelings oo bra 😅😅,Neutral
you just do fa no saa and move on,Neutral
spending bɛn biom,Neutral
from trenches to awurade bra mu,Neutral
dicks and chics nso yɛ dɛn😂  szphqd,Neutral
